ts,crawl_done,index_done
2025-05-07T23:25:23.131030,0,0
2025-05-07T23:25:23.843559,0,0
2025-05-07T23:25:25.134155,0,0
2025-05-07T23:25:25.845458,0,0
2025-05-07T23:25:27.137461,0,0
2025-05-07T23:25:27.850043,0,0
2025-05-07T23:25:29.143073,0,0
2025-05-07T23:25:29.851748,0,0
2025-05-07T23:25:31.145168,0,0
2025-05-07T23:25:31.852600,0,0
2025-05-07T23:25:33.144508,0,0
2025-05-07T23:25:33.855229,0,0
2025-05-07T23:25:35.147004,0,0
2025-05-07T23:25:35.857362,0,0
2025-05-07T23:25:37.150281,0,0
2025-05-07T23:25:37.859727,0,0
2025-05-07T23:25:39.153338,0,0
2025-05-07T23:25:39.861884,0,0
